,year,state_po,candidatevotes_rep,totalvotes,candidatevotes_dem,raw_lean,adjusted_lean,compound_lean
0,2004,AK,292267.0,488693,180365.0,0.2289822035511047,0.20418736715775265,0.2157916246674482
1,2004,AL,1176394.0,1883415,693933.0,0.256162874353236,0.23136803795988392,0.16016516684276266
2,2004,AR,572770.0,1053694,468631.0,0.09883229856106235,0.07403746216771029,0.04060014227163032
3,2004,AZ,1104294.0,2012585,893524.0,0.10472601157218203,0.07993117517882997,0.10739350263303016
4,2004,CA,5501496.0,12383678,6737355.0,-0.09979741075308968,-0.12459224714644174,-0.10375306811474623
5,2004,CO,1101255.0,2129630,1001732.0,0.046732531003038036,0.021937694609685976,0.029797451937149125
6,2004,CT,693826.0,1578769,857488.0,-0.10366431061162212,-0.12845914700497418,-0.12051691424865137
7,2004,DC,21256.0,227586,202970.0,-0.7984410288857838,-0.8232358652791358,
8,2004,DE,171651.0,375170,200141.0,-0.07593890769517825,-0.10073374408853031,-0.10163200711336856
9,2004,FL,3964522.0,7609810,3583544.0,0.05006406204622721,0.02526922565287515,0.05252488363407953
10,2004,GA,1914254.0,3298790,1366149.0,0.1661533471363743,0.14135851074302225,0.16733501427112657
11,2004,HI,194116.0,428555,231335.0,-0.08684766249372894,-0.111642498887081,-0.15662499674609492
12,2004,IA,751957.0,1506908,741898.0,0.0066752582108529634,-0.018119578182499096,-0.017250057271151947
13,2004,ID,409235.0,598376,181098.0,0.38126027781862903,0.356465441425277,0.36856177972828885
14,2004,IL,2346608.0,5275415,2891989.0,-0.10338162969169257,-0.12817646608504463,-0.09697058898418393
15,2004,IN,1479438.0,2468002,969011.0,0.20681790371320602,0.18202306731985396,0.15560206770223026
16,2004,KS,736456.0,1187756,434993.0,0.25380886309982864,0.22901402670647658,0.21554680529925935
17,2004,KY,1069439.0,1795860,712733.0,0.19862684173599282,0.17383200534264076,0.132050025802241
18,2004,LA,1102169.0,1943106,820299.0,0.1450615663787771,0.12026672998542504,
19,2004,MA,1071109.0,2912388,1803800.0,-0.2515773997145984,-0.2763722361079505,-0.32656396232994617
20,2004,MD,1024703.0,2386678,1334493.0,-0.12979966296249423,-0.1545944993558463,-0.1701309856010115
21,2004,ME,308997.0,686510,364153.0,-0.08034260243842045,-0.10513743883177251,-0.06711795350085038
22,2004,MI,2313746.0,4839252,2479183.0,-0.034186481712463024,-0.058981318105815084,-0.04821598175246462
23,2004,MN,1346451.0,2827850,1444751.0,-0.034761391162897615,-0.059556227556249675,-0.046445627571585504
24,2004,MO,1455713.0,2731364,1259171.0,0.0719574542243363,0.047162617830984244,0.05002487655966123
25,2004,MS,666295.0,1114859,440034.0,0.20295032824778741,0.17815549185443535,0.11641537892837932
26,2004,MT,266063.0,450434,173710.0,0.20503114773751535,0.1802363113441633,0.1756315615553118
27,2004,NC,1961166.0,3501007,1525849.0,0.12434051117292821,0.09954567477957615,0.09678417536697156
28,2004,ND,196651.0,312833,111052.0,0.27362522496028235,0.2488303885669303,0.2332559593662157
29,2004,NE,512814.0,778186,254328.0,0.3321648037872693,0.30736996739391725,
30,2004,NH,331237.0,677662,340511.0,-0.013685288536172902,-0.03848012492952496,-0.011923960173287812
31,2004,NJ,1668003.0,3609691,1911430.0,-0.06743707425372425,-0.09223191064707631,-0.0879507933596621
32,2004,NM,376930.0,756304,370942.0,0.007917451183651003,-0.016877385209701057,-0.040218198494628335
33,2004,NV,418690.0,829587,397190.0,0.025916510263540804,0.001121673870188744,0.03737659151975416
34,2004,NY,2806993.0,7391036,4180755.0,-0.18586866577297145,-0.2106635021663235,-0.19063282831375628
35,2004,OH,2858727.0,5625631,2739952.0,0.021113187125141986,-0.0036816492682100743,0.004628621138991679
36,2004,OK,959792.0,1463758,503966.0,0.31140803329512123,0.2866131969017692,0.225462386647097
37,2004,OR,866831.0,1836782,943163.0,-0.0415574629977864,-0.06635229939113846,-0.0440094824689022
38,2004,PA,2793847.0,5765764,2938095.0,-0.025018020161768684,-0.049812856555120744,-0.037962899474898115
39,2004,RI,169046.0,436289,259760.0,-0.20792181329348203,-0.2327166496868341,-0.29249979177743746
40,2004,SC,937974.0,1617730,661699.0,0.17077942549127478,0.14598458909792272,0.1869556724263045
41,2004,SD,232584.0,388215,149244.0,0.21467485800394115,0.1898800216105891,0.20493815721053985
42,2004,TN,1381225.0,2430494,1032910.0,0.14331037229468574,0.11851553590133368,0.09257019260168035
43,2004,TX,4526917.0,7410749,2832704.0,0.22861562306320188,0.20382078666984982,0.22308879281280536
44,2004,UT,663742.0,927844,241199.0,0.45540306344601034,0.4306082270526583,0.3614411887651144
45,2004,VA,1716959.0,3198367,1454742.0,0.08198465029185209,0.05718981389850003,0.06549513506498468
46,2004,VT,121180.0,312309,184067.0,-0.20136147213176697,-0.22615630852511903,-0.18541890194431443
47,2004,WA,1304894.0,2859084,1510201.0,-0.07180866319422585,-0.09660349958757791,-0.08026998709924757
48,2004,WI,1478120.0,2997007,1489504.0,-0.0037984562598619154,-0.028593292653213975,-0.006490440275321557
49,2004,WV,423550.0,755659,326541.0,0.1283766884269228,0.10358185203357073,0.029554944579181466
50,2004,WY,167629.0,243428,70776.0,0.39787123913436423,0.37307640274101217,0.3891330789060463
51,2008,AK,193841.0,326197,123594.0,0.21535145939416983,0.2879162603703494,0.21697097798750914
52,2008,AL,1266546.0,2099819,813479.0,0.2157647873459569,0.28832958832213645,0.22515056544356515
53,2008,AR,638017.0,1086617,422310.0,0.19851244734805362,0.2710772483242332,0.15367725213329808
