,year,state_po,candidatevotes_dem,candidatevotes_rep,voteso,totalvotes,raw_lean,adjusted_lean
54,1970.0,IL,7230360.0,6350742.0,23927.0,13605029.0,-0.06465388644155035,0.07552870758962399
55,1970.0,IN,5398216.0,5000170.0,911.0,10399297.0,-0.03827624117284084,0.1019063528583335
56,1970.0,IA,538654.0,614573.0,2548.0,1155775.0,0.06568666046592114,0.20586925449709548
57,1970.0,KS,266390.0,373866.0,0.0,640256.0,0.16786410435825672,0.30804669838943105
58,1970.0,ME,553416.0,411397.0,5045.0,969858.0,-0.14643277675700983,-0.006250182725835496
59,1970.0,MD,2965157.0,1645004.0,12223.0,4622384.0,-0.28560002803748025,-0.1454174340063059
60,1970.0,MA,2761716.0,1309949.0,98944.0,4170609.0,-0.3480947266933918,-0.20791213266221747
61,1970.0,MI,2734399.0,2232809.0,0.0,4967208.0,-0.10098026899618456,0.03920232503498977
62,1970.0,MO,1008690.0,793335.0,1178.0,1803203.0,-0.11942914913074126,0.02075344490043307
63,1970.0,MT,750847.0,679391.0,10555.0,1440793.0,-0.04959491058049281,0.09058768345068152
64,1970.0,NV,501820.0,429396.0,17951.0,949167.0,-0.07630269488930824,0.06387989914186609
65,1970.0,NH,289430.0,404910.0,1110.0,695450.0,0.1660507585016896,0.30623335253286393
66,1970.0,NM,247601.0,201961.0,0.0,449562.0,-0.10152103603062534,0.03866155800054899
67,1970.0,NY,4708657.0,5239929.0,582963.0,10531549.0,0.050445760637870096,0.19062835466904443
68,1970.0,NC,2330046.0,1486594.0,30443.0,3847083.0,-0.21924455490042716,-0.07906196086925282
69,1970.0,ND,295073.0,458686.0,2552.0,756311.0,0.21633031914119988,0.3565129131723742
70,1970.0,OH,2158000.0,2098913.0,14953.0,4271866.0,-0.013831660450023486,0.12635093358115085
71,1970.0,OK,739350.0,264676.0,0.0,1004026.0,-0.4727706254618904,-0.3325880314307161
72,1970.0,OR,1576787.0,1371495.0,0.0,2948282.0,-0.06963105971545458,0.07055153431571975
73,1970.0,PA,2881347.0,2590385.0,12093.0,5483825.0,-0.053058221223324986,0.08712437280784935
