party,,,,D,R,R,R,D,D,D,D,D,R,R,D,D,R,R,D,D,D,D,R,R,R,R,R,D,D,R,R,R,R,D,R,D,D,D,R,R,D,D,R,R,R,R,R,R,R,D,R,D,R,D,D,R,D,D,D,R,D,I,R,D,R,D,R,D,D,D,R,R,D,D,D,R,R,D,D,D,R,R,D,R,I,D,D,R,D,R,R,D,D,R,R,D,D,R,D,D,D,R,D,D,R,D,R,R,D,D,R,D,D,I,D,R,R,D,D,R,D,D
113,Senate,1,5,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Not Voting,,No,Yes,Yes,Yes,Yes,Present,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
113,Senate,1,6,,No,No,No,Yes,Yes,Yes,,Yes,No,No,Yes,Yes,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,,No,No,No,Yes,No,Not Voting,No,Yes,,,Yes,Yes,Yes,No,Yes,,,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Not Voting,Yes,,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,,,Yes,Yes,No,No,Yes,Yes,No,Yes,,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,,,,
113,Senate,1,7,,No,No,No,Yes,Yes,Yes,,Yes,No,No,Yes,Yes,,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,Yes,No,No,No,,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,,No,,No,No,No,Yes,No,Not Voting,No,Yes,,,Yes,Yes,Yes,No,Yes,,,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Not Voting,Yes,,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,,,Yes,No,No,No,Yes,Yes,No,Yes,,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,,,,
113,Senate,1,8,,No,No,No,Yes,Yes,Yes,,Yes,No,No,Yes,Yes,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,,No,No,No,Yes,No,Not Voting,No,Yes,,,Yes,Yes,Yes,No,Yes,,,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Not Voting,Yes,,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,,,Yes,Yes,No,No,Yes,Yes,No,Yes,,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,,,,
113,Senate,1,9,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,,,Yes,Yes,Yes,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Voting,Yes,,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,,,,
113,Senate,1,10,,No,No,No,Yes,Yes,Yes,,Yes,No,No,Yes,Yes,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,,No,No,No,Yes,No,Not Voting,No,Yes,,,Yes,Yes,Yes,No,Yes,,,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Not Voting,Yes,,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,,,Yes,Yes,No,No,Yes,Yes,No,Yes,,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,,,,
113,Senate,1,11,,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,,Yes,No,No,No,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,Yes,,No,No,No,Yes,No,Not Voting,No,Yes,,,Yes,Yes,Yes,No,Yes,,,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Voting,Yes,,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,
113,Senate,1,12,,Yes,Yes,Yes,Yes,Not Voting,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Not Voting,No,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Not Voting,Yes,,,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,
113,Senate,1,13,,Yes,No,Yes,No,No,No,,No,Yes,Yes,No,No,,Yes,No,No,No,No,Yes,Yes,Not Voting,Yes,No,,No,Yes,Yes,No,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,,Yes,,Yes,Yes,Yes,No,Yes,,No,No,,,No,No,No,No,No,,,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,,,No,No,Yes,Yes,No,No,Yes,No,,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,,,
113,Senate,1,14,,Not Voting,Yes,Yes,No,No,No,,No,Yes,Yes,No,No,,Yes,No,No,No,No,Yes,Yes,Yes,Not Voting,No,,No,Yes,Yes,No,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,,Yes,,Yes,Yes,Yes,No,Not Voting,,No,No,,,No,No,No,Yes,No,,,No,Yes,No,Yes,No,No,No,Not Voting,No,No,No,,Yes,Yes,No,No,No,Yes,Not Voting,No,Yes,No,No,No,Yes,No,,,No,No,Yes,Yes,No,No,Not Voting,No,,No,Not Voting,No,No,Not Voting,No,Yes,Yes,No,No,Not Voting,No,No,No,No,Yes,Not Voting,No,No,,,
