party,,,,R,D,R,D,D,R,D,R,D,R,D,R,D,D,D,R,R,R,D,R,R,D,R,R,R,R,D,D,D,R,R,D,R,R,D,R,D,R,R,D,D,R,D,D,R,D,R,R,R,R,D,R,I,D,R,D,R,D,D,R,D,R,D,D,R,R,D,D,D,R,R,D,R,D,R,R,R,R,I,R,D,D,R,R,D,R,D,R,D,R,R,R,D,D,D,D,D,R,D,R,R
115,Senate,1,16,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Not Voting,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Not Voting,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,
115,Senate,1,17,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Not Voting,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not Voting,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,
115,Senate,1,18,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Not Voting,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Not Voting,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
115,Senate,1,19,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Not Voting,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not Voting,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,
115,Senate,1,20,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Not Voting,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Not Voting,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,
115,Senate,1,21,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Not Voting,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Not Voting,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
115,Senate,1,22,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Not Voting,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not Voting,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,
115,Senate,1,23,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Not Voting,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Not Voting,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
115,Senate,1,24,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Not Voting,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not Voting,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,
115,Senate,1,25,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Not Voting,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Not Voting,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
