congress,chamber,session,roll_call,bill,date,democratic,description,document_number,document_title,independent,question,question_text,republican,result,source,tie_breaker,tie_breaker_vote,time,total,url,vote_type,vote_uri
110,Senate,1,338,"{'bill_id': 'hr1124-110', 'number': 'H.R.1124', 'sponsor_id': 'D000136', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr1124.json', 'title': 'To extend the District of Columbia College Access Act of 1999.', 'latest_action': 'Became Public Law No: 110-97.'}",2007-09-18,"{'yes': 46, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",H.R. 1124 as Amended; A bill to extend the District of Columbia College Access Act of 1999.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On Passage of the Bill,,"{'yes': 48, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Passed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00338.xml,,,12:27:00,"{'yes': 96, 'no': 0, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00338,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/338.json
110,Senate,1,339,"{'bill_id': 's1257-110', 'number': 'S.1257', 'sponsor_id': 'L000304', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1257.json', 'title': 'A bill to provide the District of Columbia a voting seat and the State of Utah an additional seat in the House of Representatives.', 'latest_action': 'Cloture on the motion to proceed to consideration of the measure not invoked in Senate by Yea-Nay Vote. 57 - 42. Record Vote Number: 339.'}",2007-09-18,"{'yes': 47, 'no': 1, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Motion to Invoke Cloture on the Motion to Proceed to S. 1257; District of Columbia House Voting Rights Act of 2007,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On Cloture on the Motion to Proceed,,"{'yes': 8, 'no': 41, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00339.xml,,,14:31:00,"{'yes': 57, 'no': 42, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00339,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/339.json
110,Senate,1,340,"{'bill_id': 'hr1585-110', 'number': 'H.R.1585', 'sponsor_id': 'S000465', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr1585.json', 'title': 'To authorize appropriations for fiscal year 2008 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.', 'latest_action': 'On motion to refer the bill and the accompanying veto message to the Committee on Armed Services. Agreed to by voice vote.'}",2007-09-19,"{'yes': 49, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Motion to Invoke Cloture on the Specter Amdt. No. 2022; To restore habeas corpus for those detained by the United States.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Cloture Motion ,,"{'yes': 6, 'no': 42, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00340.xml,,,10:47:00,"{'yes': 56, 'no': 43, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00340,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/340.json
110,Senate,1,341,"{'bill_id': 'hr1585-110', 'number': 'H.R.1585', 'sponsor_id': 'S000465', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr1585.json', 'title': 'To authorize appropriations for fiscal year 2008 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.', 'latest_action': 'On motion to refer the bill and the accompanying veto message to the Committee on Armed Services. Agreed to by voice vote.'}",2007-09-19,"{'yes': 49, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Webb Amdt. No. 2909; To specify minimum periods between deployment of units and members of the Armed Forces deployed for Operation Iraqi Freedom and Operation Enduring Freedom.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 6, 'no': 43, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00341.xml,,,17:30:00,"{'yes': 56, 'no': 44, 'present': 0, 'not_voting': 0}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00341,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/341.json
110,Senate,1,342,"{'bill_id': 'hr1585-110', 'number': 'H.R.1585', 'sponsor_id': 'S000465', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr1585.json', 'title': 'To authorize appropriations for fiscal year 2008 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.', 'latest_action': 'On motion to refer the bill and the accompanying veto message to the Committee on Armed Services. Agreed to by voice vote.'}",2007-09-19,"{'yes': 6, 'no': 43, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}",McCain Amdt. No. 2918; To express the sense of Congress on Department of Defense policy regarding dwell time.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 48, 'no': 1, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00342.xml,,,17:56:00,"{'yes': 55, 'no': 45, 'present': 0, 'not_voting': 0}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00342,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/342.json
110,Senate,1,343,"{'bill_id': 'hr1585-110', 'number': 'H.R.1585', 'sponsor_id': 'S000465', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr1585.json', 'title': 'To authorize appropriations for fiscal year 2008 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.', 'latest_action': 'On motion to refer the bill and the accompanying veto message to the Committee on Armed Services. Agreed to by voice vote.'}",2007-09-20,"{'yes': 46, 'no': 1, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}","Boxer Amdt. No. 2947; To reaffirm strong support for all the men and women of the United States Armed Forces and to strongly condemn attacks on the honor, integrity, and patriotism of any individual who is serving or has served honorably in the United Sta",,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 2, 'no': 46, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00343.xml,,,11:58:00,"{'yes': 50, 'no': 47, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00343,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/343.json
110,Senate,1,344,"{'bill_id': 'hr1585-110', 'number': 'H.R.1585', 'sponsor_id': 'S000465', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr1585.json', 'title': 'To authorize appropriations for fiscal year 2008 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.', 'latest_action': 'On motion to refer the bill and the accompanying veto message to the Committee on Armed Services. Agreed to by voice vote.'}",2007-09-20,"{'yes': 22, 'no': 24, 'present': 0, 'not_voting': 3, 'majority_position': 'None'}","Cornyn Amdt. No. 2934; To express the sense of the Senate that General David H. Petraeus, Commanding General, Multi-National Force-Iraq, deserves the full support of the Senate and strongly condemn personal attacks on the honor and integrity of General Pe",,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 49, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00344.xml,,,12:36:00,"{'yes': 72, 'no': 25, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00344,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/344.json
110,Senate,1,345,"{'bill_id': 'hr1585-110', 'number': 'H.R.1585', 'sponsor_id': 'S000465', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr1585.json', 'title': 'To authorize appropriations for fiscal year 2008 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.', 'latest_action': 'On motion to refer the bill and the accompanying veto message to the Committee on Armed Services. Agreed to by voice vote.'}",2007-09-20,"{'yes': 27, 'no': 20, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Feingold Amdt. No. 2924; To safely redeploy United States troops from Iraq.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 0, 'no': 49, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00345.xml,,,14:54:00,"{'yes': 28, 'no': 70, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00345,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/345.json
110,Senate,1,346,"{'bill_id': 'hr1585-110', 'number': 'H.R.1585', 'sponsor_id': 'S000465', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr1585.json', 'title': 'To authorize appropriations for fiscal year 2008 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.', 'latest_action': 'On motion to refer the bill and the accompanying veto message to the Committee on Armed Services. Agreed to by voice vote.'}",2007-09-21,"{'yes': 44, 'no': 3, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Levin Amdt. No. 2898; To provide for a reduction and transition of United States forces in Iraq.,,,"{'yes': 0, 'no': 1, 'present': 0, 'not_voting': 1}",On the Amendment ,,"{'yes': 3, 'no': 43, 'present': 0, 'not_voting': 3, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00346.xml,,,09:57:00,"{'yes': 47, 'no': 47, 'present': 0, 'not_voting': 6}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00346,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/346.json
110,Senate,1,347,"{'bill_id': 'hr1495-110', 'number': 'H.R.1495', 'sponsor_id': 'O000006', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr1495.json', 'title': 'To provide for the conservation and development of water and related resources, to authorize the Secretary of the Army to construct various projects for improvements to rivers and harbors of the United States, and for other purposes.', 'latest_action': 'Became Public Law No: 110-114.'}",2007-09-24,"{'yes': 43, 'no': 2, 'present': 0, 'not_voting': 4, 'majority_position': 'Yes'}",H.R.1495 Conference Report; Water Resources Development Act of 2007,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Conference Report,,"{'yes': 36, 'no': 10, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00347.xml,,,17:51:00,"{'yes': 81, 'no': 12, 'present': 0, 'not_voting': 7}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00347,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/347.json
