party,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,ID,ID,ID,ID,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
116,Senate,1,6,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,,Not Voting,No,,No,No,Yes,,Yes,Yes,,Yes,Yes,No,,No,No,,No,No,,No,,No,No,,No,Yes,No,No,,No,No,Yes,,Yes,,No,Yes,,No,No,,Yes,No,,No,No,No,,No,,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,,,No,No,No,No,
116,Senate,1,7,No,,No,,No,No,,No,,No,No,,No,,No,,No,,No,No,,,No,,No,,No,No,No,,,No,,No,,No,,No,No,,,No,No,No,,,No,No,,No,,No,,,No,,No,,No,No,,No,,,No,,Yes,No,,No,,,No,,No,No,,No,No,No,,Yes,,No,,,No,No,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Not Voting,,Yes,Yes,,Yes,Yes,Yes,Yes,,Not Voting,Yes,Yes,,No,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Not Voting,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,8,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,No,,,Yes,Yes,,Yes,,Yes,,,Not Voting,,Yes,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,Yes,Yes,Yes,,No,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Not Voting,Yes,,Yes,Yes,Yes,Yes,,Not Voting,Yes,No,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,No,Yes,,Yes,,Yes,Yes,Not Voting,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,Yes,Yes,Yes,No,
116,Senate,1,9,No,,No,,No,No,,No,,No,No,,No,,No,,No,,No,No,,,No,,No,,No,No,No,,,No,,No,,No,,No,No,,,No,No,No,,,No,No,,No,,No,,,Not Voting,,No,,No,No,,No,,,No,,No,No,,No,,,No,,No,No,,No,No,No,,Yes,,No,,,No,Yes,,Yes,Yes,Yes,,No,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Not Voting,Yes,,Yes,Yes,Yes,Yes,,Not Voting,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,10,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,,Not Voting,,Yes,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,No,No,No,,No,No,,Yes,No,No,,Yes,No,,No,No,,No,,Not Voting,No,,No,No,No,No,,Not Voting,No,No,,Yes,,No,No,,No,No,,No,No,,Not Voting,No,No,,No,,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,Yes,,,No,No,No,No,
116,Senate,1,11,Yes,,Yes,,Not Voting,No,,Yes,,Yes,No,,Yes,,No,,No,,Not Voting,No,,,Yes,,No,,Yes,No,Yes,,,Yes,,No,,Yes,,Yes,Yes,,,Yes,No,Not Voting,,,Yes,No,,No,,Yes,,,Yes,,No,,Yes,No,,No,,,Yes,,Yes,Yes,,No,,,No,,Yes,No,,Yes,Yes,No,,Yes,,Yes,,,No,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,Not Voting,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Not Voting,,Yes,Not Voting,Not Voting,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,12,Yes,,Yes,,No,No,,Yes,,Yes,No,,Yes,,No,,No,,No,No,,,Yes,,No,,Yes,No,Yes,,,Yes,,No,,Yes,,Yes,Yes,,,Yes,No,No,,,Yes,No,,No,,Yes,,,Yes,,No,,Yes,No,,No,,,Yes,,Yes,Yes,,No,,,No,,Yes,No,,Yes,Yes,No,,Yes,,Yes,,,No,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,Not Voting,Yes,Yes,,Not Voting,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,13,Yes,,Yes,,No,Yes,,Yes,,Yes,No,,Yes,,Yes,,No,,No,Not Voting,,,Yes,,No,,No,No,No,,,Yes,,Yes,,No,,No,Yes,,,Yes,Yes,No,,,Yes,No,,No,,Yes,,,Yes,,No,,No,Not Voting,,No,,,No,,Yes,Yes,,Yes,,,Yes,,Yes,No,,Yes,Yes,No,,Yes,,Yes,,,No,Yes,,Not Voting,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Not Voting,Not Voting,,Yes,Yes,,Yes,,Yes,Yes,,Yes,Not Voting,Yes,Yes,,Not Voting,Yes,No,,Yes,,Not Voting,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Not Voting,Yes,Yes,No,No,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,14,Yes,,Yes,,No,Yes,,Yes,,Yes,No,,Yes,,Yes,,No,,No,No,,,Yes,,No,,No,No,No,,,Yes,,Yes,,No,,No,Yes,,,Yes,Yes,No,,,Yes,No,,No,,Yes,,,Yes,,No,,No,No,,No,,,No,,Yes,Yes,,Yes,,,Yes,,Yes,No,,Yes,Not Voting,No,,Yes,,Yes,,,No,Not Voting,,Yes,Yes,Yes,,Yes,Yes,,Not Voting,Yes,Yes,,Yes,Not Voting,,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,No,Yes,No,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,15,Yes,,Yes,,No,No,,Yes,,Yes,No,,Yes,,No,,No,,No,No,,,Yes,,No,,No,No,Yes,,,Yes,,No,,Yes,,Yes,Yes,,,Yes,No,No,,,Yes,No,,No,,Yes,,,Yes,,No,,Yes,No,,No,,,Yes,,Yes,Yes,,No,,,No,,Yes,No,,Yes,Not Voting,No,,Yes,,Yes,,,No,Not Voting,,Yes,Yes,Yes,,Yes,Yes,,Not Voting,Yes,Yes,,Yes,Not Voting,,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,No,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,
