congress,chamber,session,roll_call,bill,date,democratic,description,document_number,document_title,independent,question,question_text,republican,result,source,tie_breaker,tie_breaker_vote,time,total,url,vote_type,vote_uri
105,Senate,1,1,"{'bill_id': '-105', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",1997-01-22,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Nomination of Madeleine K. Albright to be Secretary of State,,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 55, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00001.xml,,,14:17:00,"{'yes': 99, 'no': 0, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00001,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/1.json
105,Senate,1,2,"{'bill_id': '-105', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",1997-01-22,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Nomination of William S. Cohen to be Secretary of Defense,,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 55, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00002.xml,,,15:28:00,"{'yes': 99, 'no': 0, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00002,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/2.json
105,Senate,1,3,"{'bill_id': '-105', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",1997-01-29,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Nomination of Andrew M. Cuomo to be Secretary of H.U.D,,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 55, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00003.xml,,,10:01:00,"{'yes': 99, 'no': 0, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00003,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/3.json
105,Senate,1,4,"{'bill_id': '-105', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",1997-01-30,"{'yes': 45, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}","NOMINATION, WILLIAM M. DALEY TO BE SECRETARY OF COMMERCE",,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 50, 'no': 2, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00004.xml,,,10:00:00,"{'yes': 95, 'no': 2, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00004,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/4.json
105,Senate,1,5,"{'bill_id': 'sres47-105', 'number': 'S.RES.47', 'sponsor_id': 'S000663', 'api_uri': 'https://api.propublica.org/congress/v1/105/bills/sres47.json', 'title': 'A resolution expressing the sense of the Senate concerning the need for accurate guidelines for breast cancer screening for women between the ages of 40 and 49.', 'latest_action': 'Resolution agreed to in Senate without amendment by Yea-Nay Vote. 98-0. Record Vote No: 5.'}",1997-02-04,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",s.res.47; A resolution expressing the sense of the Senate concerning the need for accurate guidelines for breast cancer screening for women between the ages of 40 and 49.,,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Resolution,,"{'yes': 54, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00005.xml,,,16:59:00,"{'yes': 98, 'no': 0, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00005,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/5.json
105,Senate,1,6,"{'bill_id': '-105', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",1997-02-06,"{'yes': 45, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",nomination - Rodney E. Slater to be Secretary of Transportation,,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 53, 'no': 0, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00006.xml,,,15:01:00,"{'yes': 98, 'no': 0, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00006,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/6.json
105,Senate,1,7,"{'bill_id': 's.j.res.1-105', 'number': 'S.J.Res..1', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",1997-02-10,"{'yes': 10, 'no': 35, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}",motion to table the Durbin amdt (SP 2) to s.j.res.1; To allow waiver of the article in the event of an economic recession or serious economic emergency.,,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion to Table ,,"{'yes': 54, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00007.xml,,,17:28:00,"{'yes': 64, 'no': 35, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00007,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/7.json
105,Senate,1,8,"{'bill_id': 's.j.res.1-105', 'number': 'S.J.Res..1', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",1997-02-11,"{'yes': 10, 'no': 35, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}","Motion to Table Wellstone Amendment no.3; To state the policy of the United States that, in achieving a balanced budget, Federal outlays should not be reduced in a manner that disproportionately affects outlays for education, nutrition, and health program",,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion to Table ,,"{'yes': 54, 'no': 1, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00008.xml,,,15:13:00,"{'yes': 64, 'no': 36, 'present': 0, 'not_voting': 0}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00008,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/8.json
105,Senate,1,9,"{'bill_id': '-105', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",1997-02-11,"{'yes': 45, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Nomination of Bill Richardson To be Ambassador to the U.N.,,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 55, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00009.xml,,,16:29:00,"{'yes': 100, 'no': 0, 'present': 0, 'not_voting': 0}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00009,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/9.json
105,Senate,1,10,"{'bill_id': 's.j.res.1-105', 'number': 'S.J.Res..1', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",1997-02-12,"{'yes': 9, 'no': 36, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}",motion to table dodd amdt no. 4; To simplify the conditions for a declaration of an imminent and serious threat to national security.,,,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion to Table ,,"{'yes': 55, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1051/vote_105_1_00010.xml,,,17:27:00,"{'yes': 64, 'no': 36, 'present': 0, 'not_voting': 0}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00010,1/2,https://api.propublica.org/congress/v1/105/senate/sessions/1/votes/10.json
