congress,chamber,session,roll_call,bill,date,democratic,description,document_number,document_title,independent,question,question_text,republican,result,source,tie_breaker,tie_breaker_vote,time,total,url,vote_type,vote_uri
116,Senate,1,1,"{'bill_id': 's1-116', 'number': 'S.1', 'sponsor_id': 'R000595', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/s1.json', 'title': 'A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.', 'latest_action': 'Held at the desk.'}",2019-01-08,"{'yes': 4, 'no': 41, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}","A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.","{'yes': 0, 'no': 2, 'present': 0, 'not_voting': 0}",On Cloture on the Motion to Proceed,On Cloture on the Motion to Proceed S. 1,"{'yes': 52, 'no': 1, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Cloture on the Motion to Proceed Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00001.xml,,,17:39:00,"{'yes': 56, 'no': 44, 'present': 0, 'not_voting': 0}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00001,3/5,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/1.json
116,Senate,1,2,"{'bill_id': 's1-116', 'number': 'S.1', 'sponsor_id': 'R000595', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/s1.json', 'title': 'A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.', 'latest_action': 'Held at the desk.'}",2019-01-10,"{'yes': 4, 'no': 41, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}","A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.","{'yes': 0, 'no': 2, 'present': 0, 'not_voting': 0}",On Cloture on the Motion to Proceed,On Cloture on the Motion to Proceed S. 1,"{'yes': 49, 'no': 0, 'present': 0, 'not_voting': 4, 'majority_position': 'Yes'}",Cloture on the Motion to Proceed Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00002.xml,,,13:48:00,"{'yes': 53, 'no': 43, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00002,3/5,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/2.json
116,Senate,1,3,"{'bill_id': 's1-116', 'number': 'S.1', 'sponsor_id': 'R000595', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/s1.json', 'title': 'A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.', 'latest_action': 'Held at the desk.'}",2019-01-14,"{'yes': 3, 'no': 40, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}","A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.","{'yes': 0, 'no': 2, 'present': 0, 'not_voting': 0}",On Cloture on the Motion to Proceed,On Cloture on the Motion to Proceed S. 1,"{'yes': 47, 'no': 1, 'present': 0, 'not_voting': 5, 'majority_position': 'Yes'}",Cloture Motion Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00003.xml,,,17:31:00,"{'yes': 50, 'no': 43, 'present': 0, 'not_voting': 7}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00003,3/5,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/3.json
116,Senate,1,4,"{'bill_id': 'sjres2-116', 'number': 'S.J.RES.2', 'sponsor_id': 'S000148', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/sjres2.json', 'title': ""A joint resolution disapproving the President's proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation."", 'latest_action': 'Returned to the Calendar. Calendar No. 13.'}",2019-01-15,"{'yes': 0, 'no': 44, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",A joint resolution disapproving the President's proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation.,2,A joint resolution disapproving the President&#39;s proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation.,"{'yes': 0, 'no': 2, 'present': 0, 'not_voting': 0}",On the Motion to Table,On the Motion to Table S.J.Res. 2,"{'yes': 42, 'no': 11, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Motion to Table Failed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00004.xml,,,16:14:00,"{'yes': 42, 'no': 57, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00004,1/2,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/4.json
116,Senate,1,5,"{'bill_id': 'sjres2-116', 'number': 'S.J.RES.2', 'sponsor_id': 'S000148', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/sjres2.json', 'title': ""A joint resolution disapproving the President's proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation."", 'latest_action': 'Returned to the Calendar. Calendar No. 13.'}",2019-01-15,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",A joint resolution disapproving the President's proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation.,2,A joint resolution disapproving the President&#39;s proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation.,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion to Proceed,On the Motion to Proceed S.J.Res. 2,"{'yes': 11, 'no': 42, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}",Motion to Proceed Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00005.xml,,,16:47:00,"{'yes': 57, 'no': 42, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00005,1/2,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/5.json
116,Senate,1,6,"{'bill_id': 'sjres2-116', 'number': 'S.J.RES.2', 'sponsor_id': 'S000148', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/sjres2.json', 'title': ""A joint resolution disapproving the President's proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation."", 'latest_action': 'Returned to the Calendar. Calendar No. 13.'}",2019-01-16,"{'yes': 45, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",A joint resolution disapproving the President's proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation.,2,A joint resolution disapproving the President&#39;s proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation.,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 1}",On the Cloture Motion,On the Cloture Motion S.J.Res. 2,"{'yes': 11, 'no': 42, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}",Cloture Motion Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00006.xml,,,12:32:00,"{'yes': 57, 'no': 42, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00006,3/5,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/6.json
116,Senate,1,7,"{'bill_id': 's109-116', 'number': 'S.109', 'sponsor_id': 'W000437', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/s109.json', 'title': 'A bill to prohibit taxpayer funded abortions.', 'latest_action': 'Cloture on the motion to proceed to the measure not invoked in Senate by Yea-Nay Vote. 48 - 47. Record Vote Number: 7. (CR S288)'}",2019-01-17,"{'yes': 2, 'no': 43, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}",A bill to prohibit taxpayer funded abortions.,109,A bill to prohibit taxpayer funded abortions.,"{'yes': 0, 'no': 2, 'present': 0, 'not_voting': 0}",On Cloture on the Motion to Proceed,On Cloture on the Motion to Proceed S. 109,"{'yes': 46, 'no': 2, 'present': 0, 'not_voting': 5, 'majority_position': 'Yes'}",Cloture on the Motion to Proceed Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00007.xml,,,16:11:00,"{'yes': 48, 'no': 47, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00007,3/5,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/7.json
116,Senate,1,8,"{'bill_id': 'hr268-116', 'number': 'H.R.268', 'sponsor_id': 'L000480', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hr268.json', 'title': 'Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.', 'latest_action': 'Motion by Senator McConnell to reconsider the vote by which cloture on H.R. 268 was not invoked (Record Vote No. 56) entered in Senate.'}",2019-01-24,"{'yes': 43, 'no': 1, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}","A bill making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.",268,"A bill making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.","{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion for Attendance,On the Motion for Attendance H.R. 268,"{'yes': 43, 'no': 7, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Motion for Attendance Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00008.xml,,,12:37:00,"{'yes': 88, 'no': 8, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00008,1/2,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/8.json
116,Senate,1,9,"{'bill_id': 'hr268-116', 'number': 'H.R.268', 'sponsor_id': 'L000480', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hr268.json', 'title': 'Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.', 'latest_action': 'Motion by Senator McConnell to reconsider the vote by which cloture on H.R. 268 was not invoked (Record Vote No. 56) entered in Senate.'}",2019-01-24,"{'yes': 1, 'no': 43, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Of a perfecting nature.,,,"{'yes': 0, 'no': 2, 'present': 0, 'not_voting': 0}",On the Cloture Motion,"On the Cloture Motion S.Amdt. 5 to H.R. 268 (Supplemental Appropriations Act, 2019)","{'yes': 49, 'no': 2, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Cloture Motion Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00009.xml,,,14:42:00,"{'yes': 50, 'no': 47, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00009,3/5,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/9.json
116,Senate,1,10,"{'bill_id': 'hr268-116', 'number': 'H.R.268', 'sponsor_id': 'L000480', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hr268.json', 'title': 'Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.', 'latest_action': 'Motion by Senator McConnell to reconsider the vote by which cloture on H.R. 268 was not invoked (Record Vote No. 56) entered in Senate.'}",2019-01-24,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Of a perfecting nature.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Cloture Motion,"On the Cloture Motion S.Amdt. 6 to H.R. 268 (Supplemental Appropriations Act, 2019)","{'yes': 6, 'no': 44, 'present': 0, 'not_voting': 3, 'majority_position': 'No'}",Cloture Motion Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1161/vote_116_1_00010.xml,,,15:18:00,"{'yes': 52, 'no': 44, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00010,3/5,https://api.propublica.org/congress/v1/116/senate/sessions/1/votes/10.json
