,current_party,district,dw_nominate,end_date,first_name,in_office,last_name,member_id,middle_name,name,party,start_date,state
C001066,D,14,-0.439,2021-01-03,Kathy,True,Castor,C001066,,Kathy Castor,D,2007-01-04,FL
C001091,D,20,-0.395,2021-01-03,Joaquín,True,Castro,C001091,,Joaquín Castro,D,2013-01-03,TX
C000266,R,1,0.583,2021-01-03,Steven,True,Chabot,C000266,J.,Steven J. Chabot,R,1995-01-04,OH
C001109,R,1,0.538,2021-01-03,Liz,True,Cheney,C001109,,Liz Cheney,R,2017-01-03,WY
C001080,D,27,-0.488,2021-01-03,Judy,True,Chu,C001080,,Judy Chu,D,2009-07-16,CA
C001084,D,1,-0.39,2021-01-03,David,True,Cicilline,C001084,,David Cicilline,D,2011-01-04,RI
C001123,D,39,,2021-01-03,Gilbert,True,Cisneros,C001123,,Gilbert Cisneros,D,2019-01-03,CA
C001101,D,5,-0.489,2021-01-03,Katherine,True,Clark,C001101,,Katherine Clark,D,2013-12-12,MA
C001067,D,9,-0.616,2021-01-03,Yvette,True,Clarke,C001067,D.,Yvette D. Clarke,D,2007-01-04,NY
C001049,D,1,-0.48,2021-01-03,William,True,Clay,C001049,Lacy,William Lacy Clay,D,2001-01-03,MO
C001061,D,5,-0.453,2021-01-03,Emanuel,True,Cleaver,C001061,,Emanuel Cleaver II,D,2005-01-04,MO
C001118,R,6,,2021-01-03,Ben,True,Cline,C001118,,Ben Cline,R,2019-01-03,VA
C001115,R,27,,2021-01-03,Michael,True,Cloud,C001115,,Michael Cloud,R,2018-07-10,TX
C000537,D,6,-0.464,2021-01-03,James,True,Clyburn,C000537,E.,James E. Clyburn,D,1993-01-05,SC
C001068,D,9,-0.4,2021-01-03,Steve,True,Cohen,C001068,,Steve Cohen,D,2007-01-04,TN
C001053,R,4,0.335,2021-01-03,Tom,True,Cole,C001053,,Tom Cole,R,2003-01-07,OK
C001093,R,9,0.613,2021-01-03,Doug,True,Collins,C001093,,Doug Collins,R,2013-01-03,GA
C001092,R,27,0.367,2021-01-03,Chris,True,Collins,C001092,,Chris Collins,R,2013-01-03,NY
C001108,R,1,0.595,2021-01-03,James,True,Comer,C001108,,James Comer,R,2016-11-14,KY
C001062,R,11,0.59,2021-01-03,K.,True,Conaway,C001062,Michael,K. Michael Conaway,R,2005-01-04,TX
C001078,D,11,-0.307,2021-01-03,Gerald,True,Connolly,C001078,E.,Gerald E. Connolly,D,2009-01-06,VA
C001094,R,8,0.387,2021-01-03,Paul,True,Cook,C001094,,Paul Cook,R,2013-01-03,CA
C000754,D,5,-0.162,2021-01-03,Jim,True,Cooper,C000754,,Jim Cooper,D,1983-01-03,TN
C001110,D,46,-0.278,2021-01-03,J.,True,Correa,C001110,Luis,J. Luis Correa,D,2017-01-03,CA
C001059,D,16,-0.189,2021-01-03,Jim,True,Costa,C001059,,Jim Costa,D,2005-01-04,CA
C001069,D,2,-0.344,2021-01-03,Joe,True,Courtney,C001069,,Joe Courtney,D,2007-01-04,CT
C001124,D,21,,2021-01-03,TJ,True,Cox,C001124,,TJ Cox,D,2019-01-03,CA
C001119,D,2,,2021-01-03,Angie,True,Craig,C001119,,Angie Craig,D,2019-01-03,MN
C001087,R,1,0.387,2021-01-03,Rick,True,Crawford,C001087,,Rick Crawford,R,2011-01-04,AR
C001120,R,2,,2021-01-03,Dan,True,Crenshaw,C001120,,Dan Crenshaw,R,2019-01-03,TX
C001111,D,13,-0.211,2021-01-03,Charlie,True,Crist,C001111,,Charlie Crist,D,2017-01-03,FL
C001121,D,6,,2021-01-03,Jason,True,Crow,C001121,,Jason Crow,D,2019-01-03,CO
C001063,D,28,-0.226,2021-01-03,Henry,True,Cuellar,C001063,,Henry Cuellar,D,2005-01-04,TX
C000984,D,7,-0.438,2021-01-03,Elijah,True,Cummings,C000984,E.,Elijah E. Cummings,D,1995-01-04,MD
C001122,D,1,,2021-01-03,Joe,True,Cunningham,C001122,,Joe Cunningham,D,2019-01-03,SC
C001114,R,3,0.544,2021-01-03,John,True,Curtis,C001114,,John Curtis,R,2017-11-13,UT
D000629,D,3,,2021-01-03,Sharice,True,Davids,D000629,,Sharice Davids,D,2019-01-03,KS
D000626,R,8,0.715,2021-01-03,Warren,True,Davidson,D000626,,Warren Davidson,R,2016-06-09,OH
D000598,D,53,-0.343,2021-01-03,Susan,True,Davis,D000598,A.,Susan A. Davis,D,2001-01-03,CA
D000096,D,7,-0.486,2021-01-03,Danny,True,Davis,D000096,K.,Danny K. Davis,D,1997-01-07,IL
D000619,R,13,0.294,2021-01-03,Rodney,True,Davis,D000619,,Rodney Davis,R,2013-01-03,IL
D000631,D,4,,2021-01-03,Madeleine,True,Dean,D000631,,Madeleine Dean,D,2019-01-03,PA
D000191,D,4,-0.429,2021-01-03,Peter,True,DeFazio,D000191,A.,Peter A. DeFazio,D,1987-01-06,OR
D000197,D,1,-0.432,2021-01-03,Diana,True,DeGette,D000197,,Diana DeGette,D,1997-01-07,CO
D000216,D,3,-0.416,2021-01-03,Rosa,True,DeLauro,D000216,,Rosa DeLauro,D,1991-01-03,CT
D000617,D,1,-0.279,2021-01-03,Suzan,True,DelBene,D000617,K.,Suzan K. DelBene,D,2012-11-13,WA
D000630,D,19,,2021-01-03,Antonio,True,Delgado,D000630,,Antonio Delgado,D,2019-01-03,NY
D000627,D,10,-0.347,2021-01-03,Val,True,Demings,D000627,,Val Demings,D,2017-01-03,FL
D000623,D,11,-0.532,2021-01-03,Mark,True,DeSaulnier,D000623,,Mark DeSaulnier,D,2015-01-06,CA
D000616,R,4,0.598,2021-01-03,Scott,True,DesJarlais,D000616,,Scott DesJarlais,R,2011-01-04,TN
D000610,D,22,-0.401,2021-01-03,Ted,True,Deutch,D000610,,Ted Deutch,D,2010-04-15,FL
D000600,R,25,0.277,2021-01-03,Mario,True,Diaz-Balart,D000600,,Mario Diaz-Balart,R,2003-01-07,FL
D000624,D,12,-0.409,2021-01-03,Debbie,True,Dingell,D000624,,Debbie Dingell,D,2015-01-06,MI
D000399,D,35,-0.402,2021-01-03,Lloyd,True,Doggett,D000399,,Lloyd Doggett,D,1995-01-04,TX
D000482,D,18,-0.33,2021-01-03,Mike,True,Doyle,D000482,,Mike Doyle,D,1995-01-04,PA
D000614,R,7,0.512,2021-01-03,Sean,True,Duffy,D000614,,Sean Duffy,R,2011-01-04,WI
D000615,R,3,0.738,2021-01-03,Jeffrey,True,Duncan,D000615,,Jeffrey Duncan,R,2011-01-04,SC
D000628,R,2,0.5,2021-01-03,Neal,True,Dunn,D000628,,Neal Dunn,R,2017-01-03,FL
E000294,R,6,0.443,2021-01-03,Tom,True,Emmer,E000294,,Tom Emmer,R,2015-01-06,MN
E000179,D,16,-0.408,2021-01-03,Eliot,True,Engel,E000179,L.,Eliot L. Engel,D,1989-01-03,NY
E000299,D,16,,2021-01-03,Veronica,True,Escobar,E000299,,Veronica Escobar,D,2019-01-03,TX
E000215,D,18,-0.382,2021-01-03,Anna,True,Eshoo,E000215,G.,Anna G. Eshoo,D,1993-01-05,CA
E000297,D,13,-0.624,2021-01-03,Adriano,True,Espaillat,E000297,,Adriano Espaillat,D,2017-01-03,NY
E000298,R,4,0.574,2021-01-03,Ron,True,Estes,E000298,,Ron Estes,R,2017-04-25,KS
E000296,D,3,-0.45,2021-01-03,Dwight,True,Evans,E000296,,Dwight Evans,D,2016-11-14,PA
F000465,R,3,0.549,2021-01-03,A.,True,Ferguson,F000465,Drew,A. Drew Ferguson,R,2017-01-03,GA
F000467,D,1,,2021-01-03,Abby,True,Finkenauer,F000467,,Abby Finkenauer,D,2019-01-03,IA
F000466,R,1,0.194,2021-01-03,Brian,True,Fitzpatrick,F000466,,Brian Fitzpatrick,R,2017-01-03,PA
F000459,R,3,0.473,2021-01-03,Chuck,True,Fleischmann,F000459,,Chuck Fleischmann,R,2011-01-04,TN
F000468,D,7,,2021-01-03,Lizzie,True,Fletcher,F000468,,Lizzie Fletcher,D,2019-01-03,TX
F000461,R,17,0.588,2021-01-03,Bill,True,Flores,F000461,,Bill Flores,R,2011-01-04,TX
F000449,R,1,0.301,2021-01-03,Jeff,True,Fortenberry,F000449,,Jeff Fortenberry,R,2005-01-04,NE
F000454,D,11,-0.226,2021-01-03,Bill,True,Foster,F000454,,Bill Foster,D,2008-03-08,IL
