congress,chamber,session,roll_call,bill,date,democratic,description,document_number,document_title,independent,question,question_text,republican,result,source,tie_breaker,tie_breaker_vote,time,total,url,vote_type,vote_uri
108,Senate,2,1,"{'bill_id': 'h.r.2673-108', 'number': 'H.R..2673', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2004-01-20,"{'yes': 3, 'no': 39, 'present': 0, 'not_voting': 6, 'majority_position': 'No'}","Motion to Invoke Cloture on the Conference Report to Accompany H.R. 2673; Consolidated Appropriations Act, 2004",,,"{'yes': 0, 'no': 1, 'present': 0, 'not_voting': 0}",On the Cloture Motion,,"{'yes': 45, 'no': 5, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00001.xml,,,15:10:00,"{'yes': 48, 'no': 45, 'present': 0, 'not_voting': 7}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00001,3/5,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/1.json
108,Senate,2,2,"{'bill_id': 'h.r.2673-108', 'number': 'H.R..2673', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2004-01-22,"{'yes': 16, 'no': 28, 'present': 0, 'not_voting': 4, 'majority_position': 'No'}","Motion To Invoke Cloture On The Conference Report To Accompany H. R. 2673; Consolidated Appropriations Act, 2004",,,"{'yes': 0, 'no': 1, 'present': 0, 'not_voting': 0}",On the Cloture Motion,,"{'yes': 45, 'no': 3, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00002.xml,,,12:00:00,"{'yes': 61, 'no': 32, 'present': 0, 'not_voting': 7}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00002,3/5,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/2.json
108,Senate,2,3,"{'bill_id': 'hr2673-108', 'number': 'H.R.2673', 'sponsor_id': 'B000617', 'api_uri': 'https://api.propublica.org/congress/v1/108/bills/hr2673.json', 'title': 'Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2004, and for other purposes.', 'latest_action': 'Became Public Law No: 108-199.'}",2004-01-22,"{'yes': 21, 'no': 23, 'present': 0, 'not_voting': 4, 'majority_position': 'None'}","H. R. 2673 Conference Report; Consolidated Appropriations Act, 2004",,,"{'yes': 0, 'no': 1, 'present': 0, 'not_voting': 0}",On the Conference Report,,"{'yes': 44, 'no': 4, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00003.xml,,,12:30:00,"{'yes': 65, 'no': 28, 'present': 0, 'not_voting': 7}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00003,1/2,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/3.json
108,Senate,2,4,"{'bill_id': 'h.r.3108-108', 'number': 'H.R..3108', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2004-01-27,"{'yes': 41, 'no': 1, 'present': 0, 'not_voting': 6, 'majority_position': 'Yes'}",Motion To Table Kyl Amdt. No. 2234; To limit the liability of the Pension Benefit Guaranty Corporation with respect to a plan for which a reduced deficit contribution is elected.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion to Table ,,"{'yes': 25, 'no': 24, 'present': 0, 'not_voting': 2, 'majority_position': 'None'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00004.xml,,,14:31:00,"{'yes': 67, 'no': 25, 'present': 0, 'not_voting': 8}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00004,1/2,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/4.json
108,Senate,2,5,"{'bill_id': 'hr3108-108', 'number': 'H.R.3108', 'sponsor_id': 'B000589', 'api_uri': 'https://api.propublica.org/congress/v1/108/bills/hr3108.json', 'title': 'To amend the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to temporarily replace the 30-year Treasury rate with a rate based on long-term corporate bonds for certain pension plan funding requirements and other provisions, and for other purposes.', 'latest_action': 'Became Public Law No: 108-218.'}",2004-01-28,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 4, 'majority_position': 'Yes'}",H.R. 3108 As Amended; Pension Funding Equity Act of 2004,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On Passage of the Bill,,"{'yes': 41, 'no': 9, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Passed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00005.xml,,,12:03:00,"{'yes': 86, 'no': 9, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00005,1/2,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/5.json
108,Senate,2,6,"{'bill_id': '-108', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2004-01-28,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 4, 'majority_position': 'Yes'}","Confirmation of Gary L. Sharpe, of New York, To Be U.S. District Judge",,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 50, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00006.xml,,,12:41:00,"{'yes': 95, 'no': 0, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00006,1/2,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/6.json
108,Senate,2,7,"{'bill_id': 's.1072-108', 'number': 'S..1072', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2004-02-02,"{'yes': 35, 'no': 5, 'present': 0, 'not_voting': 8, 'majority_position': 'Yes'}","Motion To Invoke Cloture On The Motion To Proceed To Consider S. 1072; Safe, Accountable, Flexible, and Efficient Transportation Equity Act of 2004",,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Cloture Motion,,"{'yes': 39, 'no': 6, 'present': 0, 'not_voting': 6, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00007.xml,,,17:47:00,"{'yes': 75, 'no': 11, 'present': 0, 'not_voting': 14}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00007,3/5,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/7.json
108,Senate,2,8,"{'bill_id': '-108', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2004-02-04,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 4, 'majority_position': 'Yes'}","Confirmation Mark R. Filip, of Illinois, To Be U. S. District Judge",,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 51, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00008.xml,,,16:09:00,"{'yes': 96, 'no': 0, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00008,1/2,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/8.json
108,Senate,2,9,"{'bill_id': 's.1072-108', 'number': 'S..1072', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2004-02-11,"{'yes': 15, 'no': 31, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}","Motion To Table Warner Amdt. No 2286, as Modified; To provide a highway safety improvement program that includes incentives to States to enact primary safety belt laws.",,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion to Table ,,"{'yes': 41, 'no': 10, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00009.xml,,,11:30:00,"{'yes': 57, 'no': 41, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00009,1/2,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/9.json
108,Senate,2,10,"{'bill_id': 's.1072-108', 'number': 'S..1072', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2004-02-12,"{'yes': 42, 'no': 3, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Motion To Invoke Cloture On The Inhofe Amdt. No. 2285 To S.1072; To provide a complete substitute.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Cloture Motion ,,"{'yes': 43, 'no': 8, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1082/vote_108_2_00010.xml,,,09:00:00,"{'yes': 86, 'no': 11, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00010,3/5,https://api.propublica.org/congress/v1/108/senate/sessions/2/votes/10.json
