,current_party,dw_nominate,end_date,first_name,in_office,last_name,member_id,middle_name,name,party,start_date,state
K000148,D,,2013-02-01,John,False,Kerry,K000148,,John Kerry,D,1985-01-03,MA
K000305,D,-0.205,2013-01-03,Herb,False,Kohl,K000305,,Herb Kohl,D,1989-01-03,WI
L000123,D,-0.382,2013-06-03,Frank,False,Lautenberg,L000123,R.,Frank R. Lautenberg,D,1983-01-03,NJ
L000304,I,,2013-01-03,Joseph,False,Lieberman,L000304,I.,Joseph I. Lieberman,I,1989-01-03,CT
L000504,R,0.304,2013-01-03,Richard,False,Lugar,L000504,G.,Richard G. Lugar,R,1977-01-04,IN
N000180,D,-0.03,2013-01-03,Ben,False,Nelson,N000180,,Ben Nelson,D,2001-01-03,NE
S000663,R,0.091,2013-01-03,Olympia,False,Snowe,S000663,J.,Olympia J. Snowe,R,1995-01-04,ME
W000803,D,-0.169,2013-01-03,Jim,False,Webb,W000803,,Jim Webb,D,2007-01-04,VA
C001099,D,-0.462,2013-07-15,William,False,Cowan,C001099,,William Cowan,D,2013-02-07,MA
C001100,R,0.218,2013-10-30,Jeffrey,False,Chiesa,C001100,S.,Jeffrey S. Chiesa,R,2013-06-10,NJ
I000025,D,-0.319,2012-12-17,Daniel,False,Inouye,I000025,K.,Daniel K. Inouye,D,1963-01-09,HI
E000194,R,0.508,2011-05-03,John,False,Ensign,E000194,,John Ensign,R,2001-01-03,NV
B001233,D,,2011-01-03,Evan,False,Bayh,B001233,,Evan Bayh,D,1999-01-06,IN
B000382,R,,2011-01-03,Robert,False,Bennett,B000382,F.,Robert F. Bennett,R,1993-01-05,UT
B000611,R,,2011-01-03,Christopher,False,Bond,B000611,S.,Christopher S. Bond,R,1987-01-06,MO
B000953,R,,2011-01-03,Sam,False,Brownback,B000953,,Sam Brownback,R,1995-01-04,KS
B001066,R,,2011-01-03,Jim,False,Bunning,B001066,,Jim Bunning,R,1999-01-06,KY
B001266,D,,2010-11-29,Roland,False,Burris,B001266,W.,Roland W. Burris,D,2009-01-15,IL
B001210,D,,2010-06-28,Robert,False,Byrd,B001210,C.,Robert C. Byrd,D,1959-01-07,WV
D000388,D,,2011-01-03,Christopher,False,Dodd,D000388,J.,Christopher J. Dodd,D,1981-01-05,CT
D000432,D,,2011-01-03,Byron,False,Dorgan,D000432,L.,Byron L. Dorgan,D,1993-01-05,ND
F000061,D,,2011-01-03,Russ,False,Feingold,F000061,,Russ Feingold,D,1993-01-05,WI
G000445,R,,2011-01-03,Judd,False,Gregg,G000445,,Judd Gregg,R,1993-01-05,NH
K000373,D,,2010-11-15,Edward,False,Kaufman,K000373,E.,Edward E. Kaufman,D,2009-01-16,DE
K000374,D,,2010-02-04,Paul,False,Kirk,K000374,G.,Paul G. Kirk Jr.,D,2009-09-25,MA
L000572,R,,2011-01-03,George,False,LeMieux,L000572,S.,George S. LeMieux,R,2009-09-10,FL
L000035,D,,2011-01-03,Blanche,False,Lincoln,L000035,,Blanche Lincoln,D,1999-01-06,AR
S000709,D,,2011-01-03,Arlen,False,Specter,S000709,,Arlen Specter,D,1981-01-05,PA
V000126,R,,2011-01-03,George,False,Voinovich,V000126,V.,George V. Voinovich,R,1999-01-06,OH
G000561,,,2010-11-15,Carte,False,Goodwin,G000561,P.,Carte P. Goodwin,D,2010-07-20,WV
B000444,,,2009-01-15,Joseph,False,Biden,B000444,R.,Joseph R. Biden Jr.,D,1973-01-03,DE
C001041,,,2009-01-21,Hillary,False,Clinton,C001041,Rodham,Hillary Rodham Clinton,D,2001-01-03,NY
K000105,,,2009-08-25,Edward,False,Kennedy,K000105,M.,Edward M. Kennedy,D,1961-01-03,MA
M001162,,,2009-09-09,Mel,False,Martinez,M001162,,Mel Martinez,R,2005-01-04,FL
S001163,,,2009-01-19,Ken,False,Salazar,S001163,,Ken Salazar,D,2005-01-04,CO
A000109,,,2009-01-03,Wayne,False,Allard,A000109,A.,Wayne A. Allard,R,1997-01-07,CO
C001057,,,2009-01-03,Norm,False,Coleman,C001057,,Norm Coleman,R,2003-01-07,MN
C000858,,,2009-01-03,Larry,False,Craig,C000858,E.,Larry E. Craig,R,1991-01-03,ID
D000601,,,2009-01-03,Elizabeth,False,Dole,D000601,H.,Elizabeth H. Dole,R,2003-01-07,NC
D000407,,,2009-01-03,Pete,False,Domenici,D000407,V.,Pete V. Domenici,R,1973-01-03,NM
H001028,,,2009-01-03,Chuck,False,Hagel,H001028,T.,Chuck T. Hagel,R,1997-01-07,NE
O000167,,,2008-11-16,Barack,False,Obama,O000167,,Barack Obama,D,2005-01-04,IL
S001142,,,2009-01-03,Gordon,False,Smith,S001142,Harold,Gordon Harold Smith,R,1997-01-07,OR
S000888,,,2009-01-03,Ted,False,Stevens,S000888,F.,Ted F. Stevens,R,1967-01-10,AK
S001078,,,2009-01-03,John,False,Sununu,S001078,E.,John E. Sununu,R,2003-01-07,NH
W000154,,,2009-01-03,John,False,Warner,W000154,W.,John W. Warner,R,1977-01-04,VA
L000447,,,2007-12-18,Trent,False,Lott,L000447,,Trent Lott,R,1989-01-03,MS
T000162,,,2007-06-04,Craig,False,Thomas,T000162,,Craig Thomas,R,1995-01-04,WY
A000121,,,2007-01-03,George,False,Allen,A000121,Felix,George Felix Allen,R,2001-01-03,VA
B001126,,,2007-01-03,Conrad,False,Burns,B001126,,Conrad Burns,R,1989-01-03,MT
C001040,,,2007-01-03,Lincoln,False,Chafee,C001040,D.,Lincoln D. Chafee,R,1999-11-02,RI
D000596,,,2007-01-03,Mark,False,Dayton,D000596,,Mark Dayton,D,2001-01-03,MN
D000294,,,2007-01-03,Michael,False,DeWine,D000294,,Michael DeWine,R,1995-01-04,OH
F000439,,,2007-01-03,William,False,Frist,F000439,H.,William H. Frist,R,1995-01-04,TN
J000072,,,2007-01-03,James,False,Jeffords,J000072,M.,James M. Jeffords,I,1989-01-03,VT
S000059,,,2007-01-03,Richard,False,Santorum,S000059,J.,Richard J. Santorum,R,1995-01-04,PA
S000064,,,2007-01-03,Paul,False,Sarbanes,S000064,S.,Paul S. Sarbanes,D,1977-01-04,MD
T000024,,,2007-01-03,James,False,Talent,T000024,M.,James M. Talent,R,2001-01-03,MO
C001042,,,2007-01-03,Jon,False,Corzine,C001042,Stevens,Jon Stevens Corzine,D,2001-01-03,NJ
B000780,,,2005-01-03,John,False,Breaux,B000780,B.,John B. Breaux,D,1987-01-06,LA
C000077,,,2005-01-03,Ben,False,Campbell,C000077,Nighthorse,Ben Nighthorse Campbell,R,1993-01-05,CO
D000064,,,2005-01-03,Thomas,False,Daschle,D000064,A.,Thomas A. Daschle,D,1987-01-06,SD
E000286,,,2005-01-03,John,False,Edwards,E000286,Reid,John Reid Edwards,D,1999-01-06,NC
F000442,,,2005-01-03,Peter,False,Fitzgerald,F000442,G.,Peter G. Fitzgerald,R,1999-01-06,IL
G000352,,,2005-01-03,Bob,False,Graham,G000352,,Bob Graham,D,1987-01-06,FL
H000725,,,2005-01-03,Ernest,False,Hollings,H000725,F.,Ernest F. Hollings,D,1965-01-04,SC
M001141,,,2005-01-03,Zell,False,Miller,M001141,Bryan,Zell Bryan Miller,D,1999-01-06,GA
N000102,,,2005-01-03,Don,False,Nickles,N000102,,Don Nickles,R,1981-01-05,OK
C001043,,,2003-01-03,Jean,False,Carnahan,C001043,,Jean Carnahan,D,2001-01-03,MO
C001034,,,2003-01-03,Max,False,Cleland,C001034,,Max Cleland,D,1997-01-07,GA
G000365,,,2002-11-30,Phil,False,Gramm,G000365,,Phil Gramm,R,1985-01-03,TX
H000463,,,2003-01-03,Jesse,False,Helms,H000463,,Jesse Helms,R,1973-01-03,NC
H001015,,,2003-01-03,Tim,False,Hutchinson,H001015,,Tim Hutchinson,R,1997-01-07,AR
M001085,,,2003-01-03,Frank,False,Murkowski,M001085,H.,Frank H. Murkowski,R,1981-01-05,AK
S000606,,,2003-01-03,Bob,False,Smith,S000606,,Bob Smith,R,1991-01-03,NH
T000457,,,2003-01-03,Fred,False,Thompson,T000457,,Fred Thompson,R,1993-01-05,TN
T000254,,,2003-01-03,Strom,False,Thurmond,T000254,,Strom Thurmond,R,1953-01-03,SC
T000317,,,2003-01-03,Robert,False,Torricelli,T000317,G.,Robert G. Torricelli,D,1997-01-03,NJ
